pais,categoria_comida,consumo,emissao_co2
Ecuador,arroz,45.07,57.68
Ecuador,soja,0.0,0.0
Ecuador,nozes,0.98,1.73
Panama,suínos,13.48,47.71
Panama,aves,30.81,33.1
Panama,bovinos,20.4,629.5
Panama,caprinos,0.01,0.35
Panama,peixes,11.05,17.64
Panama,ovos,4.53,4.16
Panama,laticínios,70.29,100.12
Panama,trigo,38.96,7.43
Panama,arroz,66.42,85.0
Panama,soja,3.53,1.59
Panama,nozes,1.05,1.86
Czech Republic,suínos,41.17,145.72
Czech Republic,aves,19.09,20.51
Czech Republic,bovinos,8.15,251.49
Czech Republic,caprinos,0.34,11.91
Czech Republic,peixes,8.25,13.17
Czech Republic,ovos,11.66,10.71
Czech Republic,laticínios,195.2,278.04
Czech Republic,trigo,92.67,17.67
Czech Republic,arroz,4.79,6.13
Czech Republic,soja,0.82,0.37
Czech Republic,nozes,2.47,4.37
Romania,suínos,25.31,89.58
Romania,aves,15.38,16.52
Romania,bovinos,4.78,147.5
Romania,caprinos,3.41,119.42
Romania,peixes,6.07,9.69
Romania,ovos,12.94,11.89
Romania,laticínios,238.33,339.48
Romania,trigo,134.87,25.72
Romania,arroz,2.59,3.31
Romania,soja,0.01,0.0
Romania,nozes,1.8,3.19
Colombia,suínos,6.51,23.04
Colombia,aves,27.57,29.62
Colombia,bovinos,16.36,504.84
Colombia,caprinos,0.21,7.35
Colombia,peixes,6.01,9.6
Colombia,ovos,10.78,9.9
Colombia,laticínios,108.47,154.5
Colombia,trigo,29.79,5.68
Colombia,arroz,28.02,35.86
Colombia,soja,0.89,0.4
Colombia,nozes,0.42,0.74
Maldives,suínos,1.22,4.32
Maldives,aves,18.47,19.84
Maldives,bovinos,9.44,291.3
Maldives,caprinos,0.7,24.51
Maldives,peixes,179.71,286.94
Maldives,ovos,10.79,9.91
Maldives,laticínios,111.47,158.78
Maldives,trigo,77.77,14.83
Maldives,arroz,50.73,64.92
Maldives,soja,0.2,0.09
Maldives,nozes,15.83,28.02
Cyprus,suínos,38.38,135.85
Cyprus,aves,24.45,26.26
Cyprus,bovinos,5.79,178.67
Cyprus,caprinos,5.05,176.85
Cyprus,peixes,14.86,23.73
Cyprus,ovos,8.98,8.25
Cyprus,laticínios,113.31,161.4
Cyprus,trigo,83.25,15.88
Cyprus,arroz,4.94,6.32
Cyprus,soja,0.04,0.02
Cyprus,nozes,4.6,8.14
Serbia,suínos,32.04,113.41
Serbia,aves,10.64,11.43
Serbia,bovinos,7.05,217.55
Serbia,caprinos,3.56,124.67
Serbia,peixes,5.59,8.93
Serbia,ovos,8.89,8.17
Serbia,laticínios,148.53,211.57
Serbia,trigo,105.88,20.19
Serbia,arroz,1.22,1.56
Serbia,soja,0.0,0.0
Serbia,nozes,3.31,5.86
United Arab Emirates,suínos,0.0,0.0
United Arab Emirates,aves,41.04,44.09
United Arab Emirates,bovinos,5.64,174.04
United Arab Emirates,caprinos,9.08,317.98
United Arab Emirates,peixes,20.41,32.59
United Arab Emirates,ovos,8.23,7.56
United Arab Emirates,laticínios,132.66,188.96
United Arab Emirates,trigo,101.29,19.32
United Arab Emirates,arroz,56.25,71.98
United Arab Emirates,soja,0.08,0.04
United Arab Emirates,nozes,23.03,40.76
Algeria,suínos,0.0,0.0
Algeria,aves,7.42,7.97
Algeria,bovinos,5.6,172.8
Algeria,caprinos,7.69,269.3
Algeria,peixes,3.74,5.97
Algeria,ovos,8.06,7.4
